BAT_ID,FIRST_NAME_TX,LAST_NAME_TX,EVENT_CD,VALUE_CD,EVENT_TX,SHORTNAME_TX,LONGNAME_TX,VALUE_CD,SHORTNAME_TX,LONGNAME_TX,EVENT_OUTS_CT,RBI_CT,BAT_DEST_ID,RUN1_DEST_ID,RUN2_DEST_ID,RUN3_DEST_ID,BAT_PLAY_TX,START_BAT_SCORE_CT,START_FLD_SCORE_CT,GAME_ID,AWAY_TEAM_ID,HOME_TEAM_ID,OUTS_CT,BAT_HAND_CD,GAME_DT,AWAY_SCORE_CT,HOME_SCORE_CT,AWAY_HITS_CT,HOME_HITS_CT
aybae001,Erick,Aybar,2,2,13/BG,Out,"Generic Out",0,___,Empty,1,0,0,0,0,0,13,0,0,ANA201305020,BAL,ANA,0,B,20130502,5,1,10,4
aybae001,Erick,Aybar,2,2,8/F,Out,"Generic Out",0,___,Empty,1,0,0,0,0,0,8,0,1,ANA201305020,BAL,ANA,0,B,20130502,5,1,10,4
aybae001,Erick,Aybar,2,2,7/F,Out,"Generic Out",0,___,Empty,1,0,0,0,0,0,7,0,3,ANA201305020,BAL,ANA,2,B,20130502,5,1,10,4
aybae001,Erick,Aybar,2,2,3/G,Out,"Generic Out",0,___,Empty,1,0,0,0,0,0,3,0,0,ANA201305030,BAL,ANA,0,B,20130503,0,4,3,8
aybae001,Erick,Aybar,2,2,43/G,Out,"Generic Out",0,___,Empty,1,0,0,0,0,0,43,0,1,ANA201305040,BAL,ANA,0,B,20130504,5,4,12,6
aybae001,Erick,Aybar,2,2,9/F-,Out,"Generic Out",0,___,Empty,1,0,0,0,0,0,9,0,2,ANA201305040,BAL,ANA,0,B,20130504,5,4,12,6
aybae001,Erick,Aybar,2,2,43/G,Out,"Generic Out",0,___,Empty,1,0,0,0,0,0,43,4,5,ANA201305040,BAL,ANA,2,B,20130504,5,4,12,6
aybae001,Erick,Aybar,2,2,13/BG,Out,"Generic Out",0,___,Empty,1,0,0,0,0,0,13,3,1,ANA201305050,BAL,ANA,0,B,20130505,8,4,8,11
aybae001,Erick,Aybar,2,2,4/P,Out,"Generic Out",0,___,Empty,1,0,0,0,0,0,4,3,3,ANA201305050,BAL,ANA,0,B,20130505,8,4,8,11
aybae001,Erick,Aybar,2,2,43/G,Out,"Generic Out",0,___,Empty,1,0,0,0,0,0,43,0,0,ANA201305140,KCA,ANA,0,B,20130514,2,6,6,12
aybae001,Erick,Aybar,2,2,13/G,Out,"Generic Out",0,___,Empty,1,0,0,0,0,0,13,4,2,ANA201305140,KCA,ANA,1,B,20130514,2,6,6,12
aybae001,Erick,Aybar,2,2,5!/L,Out,"Generic Out",0,___,Empty,1,0,0,0,0,0,5,0,0,ANA201305150,KCA,ANA,0,B,20130515,9,5,13,12
aybae001,Erick,Aybar,2,2,6/P,Out,"Generic Out",0,___,Empty,1,0,0,0,0,0,6,0,8,ANA201305150,KCA,ANA,1,B,20130515,9,5,13,12
aybae001,Erick,Aybar,2,2,8/F,Out,"Generic Out",0,___,Empty,1,0,0,0,0,0,8,4,9,ANA201305150,KCA,ANA,1,B,20130515,9,5,13,12
aybae001,Erick,Aybar,2,2,63/G,Out,"Generic Out",0,___,Empty,1,0,0,0,0,0,63,0,0,ANA201305160,CHA,ANA,0,B,20130516,5,4,9,7
aybae001,Erick,Aybar,2,2,8/F,Out,"Generic Out",0,___,Empty,1,0,0,0,0,0,8,4,2,ANA201305160,CHA,ANA,1,B,20130516,5,4,9,7
aybae001,Erick,Aybar,2,2,13/G,Out,"Generic Out",0,___,Empty,1,0,0,0,0,0,13,0,1,ANA201305170,CHA,ANA,0,B,20130517,3,0,8,3
aybae001,Erick,Aybar,2,2,43/G,Out,"Generic Out",0,___,Empty,1,0,0,0,0,0,43,0,1,ANA201305170,CHA,ANA,1,B,20130517,3,0,8,3
